1, 17, 4, 3, 25, 9
2, 17, 19, 14, 25, 7
3, 19, 13, 11, 15, 7
4, 4, 30, 9, 9, 5
5, 11, 16, 9, 18, 5
6, 5, 12, 8, 14, 4
7, 13, 25, 4, 23, 2
8, 5, 6, 15, 19, 2
9, 6, 16, 2, 0, 5
10, 8, 15, 8, 9, 2
11, 3, 6, 6, 10, 0
12, 19, 6, 5, 16, 3
13, 2, 22, 2, 24, 6
14, 5, 27, 6, 21, 8
15, 11, 20, 9, 25, 4
16, 14, 0, 12, 20, 10
17, 14, 21, 9, 6, 4
18, 9, 25, 9, 15, 0
19, 16, 25, 15, 8, 9
20, 14, 18, 6, 22, 10
21, 4, 0, 7, 2, 4
22, 15, 26, 2, 10, 3
23, 14, 29, 15, 5, 7
24, 14, 8, 11, 14, 4
25, 19, 9, 2, 9, 4
26, 11, 11, 14, 9, 7
27, 14, 7, 3, 21, 8
