 2,0000000257,0000000000,11: 7, 4/ 1/16
 2,0000000292,0000000000,14:30, 4/ 1/16
 2,0000000166,0000000000,14:30, 4/ 1/16
 2,0000000407,0000000000,14:30, 4/ 1/16
 2,0000000357,0000000000,14:30, 4/ 1/16
 2,0000000586,0000000000,14:31, 4/ 1/16
 2,0000000439,0000000000,14:31, 4/ 1/16
 2,0000000065,0000000000,14:31, 4/ 1/16
 2,0000000246,0000000000,14:31, 4/ 1/16
 2,0000000021,0000000000,14:31, 4/ 1/16
 2,0000000351,0000000000,14:32, 4/ 1/16
 3,0000000269,0000000000,14:32, 4/ 1/16
 2,0000000136,0000000000,14:32, 4/ 1/16
 2,0000000319,0000000000,14:32, 4/ 1/16
 2,0000000147,0000000000,14:32, 4/ 1/16
 2,0000000387,0000000000,14:32, 4/ 1/16
 2,0000000215,0000000000,14:32, 4/ 1/16
 2,0000000252,0000000000,14:33, 4/ 1/16
 2,0000000260,0000000000,14:33, 4/ 1/16
 2,0000000083,0000000000,14:33, 4/ 1/16
 2,0000000263,0000000000,14:33, 4/ 1/16
 2,0000000107,0000000000,14:33, 4/ 1/16
 2,0000000144,0000000000,14:33, 4/ 1/16
 2,0000000242,0000000000,14:33, 4/ 1/16
 2,0000000105,0000000000,14:34, 4/ 1/16
 2,0000002500,0000000000,14:34, 4/ 1/16
 2,0000000309,0000000000,14:34, 4/ 1/16
 2,0000000075,0000000000,14:34, 4/ 1/16
 2,0000000120,0000000000,14:35, 4/ 1/16
 2,0000000389,0000000000,14:35, 4/ 1/16
 2,0000002512,0000000000,14:35, 4/ 1/16
 2,0000002507,0000000000,14:35, 4/ 1/16
 2,0000000316,0000000000,14:35, 4/ 1/16
 2,0000000404,0000000000,14:36, 4/ 1/16
 2,0000000202,0000000000,14:36, 4/ 1/16
 2,0000002506,0000000000,14:36, 4/ 1/16
 2,0000000020,0000000000,14:36, 4/ 1/16
 2,0000000310,0000000000,14:36, 4/ 1/16
 2,0000000115,0000000000,14:37, 4/ 1/16
 2,0000002513,0000000000,14:37, 4/ 1/16
 2,0000000372,0000000000,14:37, 4/ 1/16
 2,0000000180,0000000000,14:38, 4/ 1/16
 2,0000000184,0000000000,14:38, 4/ 1/16
 2,0000000079,0000000000,14:38, 4/ 1/16
 2,0000000412,0000000000,14:38, 4/ 1/16
 2,0000000347,0000000000,14:38, 4/ 1/16
 2,0000000399,0000000000,14:39, 4/ 1/16
 2,0000000413,0000000000,14:39, 4/ 1/16
 2,0000000216,0000000000,14:39, 4/ 1/16
 2,0000000243,0000000000,14:40, 4/ 1/16
 2,0000000324,0000000000,14:40, 4/ 1/16
 2,0000000072,0000000000,14:40, 4/ 1/16
 2,0000000327,0000000000,14:41, 4/ 1/16
 2,0000000153,0000000000,14:41, 4/ 1/16
 2,0000000151,0000000000,14:41, 4/ 1/16
 2,0000000353,0000000000,14:41, 4/ 1/16
 2,0000000446,0000000000,14:42, 4/ 1/16
 1,0000000311,0000000004,14:42, 4/ 1/16
 2,0000000386,0000000000,14:42, 4/ 1/16
 2,0000000068,0000000000,14:42, 4/ 1/16
 3,0000000374,0000000000,14:43, 4/ 1/16
 2,0000000348,0000000000,14:43, 4/ 1/16
 2,0000000367,0000000000,14:43, 4/ 1/16
 2,0000000043,0000000000,14:44, 4/ 1/16
 2,0000000226,0000000000,14:44, 4/ 1/16
 2,0000001106,0000000000,14:45, 4/ 1/16
 2,0000000478,0000000000,14:45, 4/ 1/16
 2,0000000108,0000000000,14:45, 4/ 1/16
 2,0000000306,0000000000,14:45, 4/ 1/16
 2,0000000232,0000000000,14:45, 4/ 1/16
 2,0000000182,0000000000,14:46, 4/ 1/16
 2,0000000299,0000000000,14:46, 4/ 1/16
 2,0000002515,0000000000,14:46, 4/ 1/16
 2,0000000382,0000000000,14:46, 4/ 1/16
 2,0000000369,0000000000,14:46, 4/ 1/16
 2,0000000141,0000000000,14:47, 4/ 1/16
 2,0000000491,0000000000,14:47, 4/ 1/16
 2,0000000425,0000000000,14:47, 4/ 1/16
 2,0000000047,0000000000,14:47, 4/ 1/16
 2,0000000453,0000000000,14:48, 4/ 1/16
 2,0000000313,0000000000,14:51, 4/ 1/16
 2,0000000181,0000000000,15:36, 4/ 1/16
 2,0000000361,0000000000,16:12, 4/ 1/16
 2,0000000050,0000000000,17: 0, 4/ 1/16
 2,0000000217,0000000000,17: 0, 4/ 1/16
 2,0000000210,0000000000,17: 0, 4/ 1/16
 2,0000000014,0000000000,17: 0, 4/ 1/16
 2,0000000030,0000000000,17: 0, 4/ 1/16
 2,0000000206,0000000000,17: 0, 4/ 1/16
 2,0000000190,0000000000,17: 0, 4/ 1/16
 2,0000000024,0000000000,17: 0, 4/ 1/16
 2,0000000025,0000000000,17: 0, 4/ 1/16
 2,0000000109,0000000000,17: 0, 4/ 1/16
 2,0000000342,0000000000,17: 1, 4/ 1/16
 2,0000000088,0000000000,17: 1, 4/ 1/16
 2,0000000421,0000000000,17: 1, 4/ 1/16
 2,0000000189,0000000000,17: 1, 4/ 1/16
 2,0000000287,0000000000,17: 1, 4/ 1/16
 2,0000000213,0000000000,17: 1, 4/ 1/16
 2,0000000011,0000000000,17: 1, 4/ 1/16
 2,0000000362,0000000000,17: 1, 4/ 1/16
 2,0000000034,0000000000,17: 2, 4/ 1/16
 2,0000000396,0000000000,17: 2, 4/ 1/16
 2,0000000154,0000000000,17: 2, 4/ 1/16
 2,0000000167,0000000000,17: 2, 4/ 1/16
 2,0000000179,0000000000,17: 2, 4/ 1/16
 2,0000000498,0000000000,17: 2, 4/ 1/16
 2,0000000061,0000000000,17: 2, 4/ 1/16
 2,0000000160,0000000000,17: 2, 4/ 1/16
 2,0000000430,0000000000,17: 3, 4/ 1/16
 2,0000000328,0000000000,17: 3, 4/ 1/16
 2,0000000023,0000000000,17: 3, 4/ 1/16
 2,0000000118,0000000000,17: 3, 4/ 1/16
 2,0000000175,0000000000,17: 3, 4/ 1/16
 2,0000000064,0000000000,17: 3, 4/ 1/16
 2,0000000463,0000000000,17: 3, 4/ 1/16
 2,0000000121,0000000000,17: 4, 4/ 1/16
 2,0000000037,0000000000,17: 4, 4/ 1/16
 2,0000000094,0000000000,17: 4, 4/ 1/16
 2,0000000371,0000000000,17: 4, 4/ 1/16
 2,0000000069,0000000000,17: 4, 4/ 1/16
 2,0000000297,0000000000,17: 4, 4/ 1/16
 2,0000000090,0000000000,17: 4, 4/ 1/16
 2,0000000454,0000000000,17: 5, 4/ 1/16
 2,0000000164,0000000000,17: 5, 4/ 1/16
 2,0000000119,0000000000,17: 5, 4/ 1/16
 2,0000000044,0000000000,17: 5, 4/ 1/16
 2,0000000012,0000000000,17: 5, 4/ 1/16
 2,0000000031,0000000000,17: 5, 4/ 1/16
 2,0000000078,0000000000,17: 5, 4/ 1/16
 2,0000000122,0000000000,17: 6, 4/ 1/16
 2,0000000110,0000000000,17: 6, 4/ 1/16
 2,0000000279,0000000000,17: 7, 4/ 1/16
 2,0000000174,0000000000,17: 7, 4/ 1/16
 2,0000000123,0000000000,17: 8, 4/ 1/16
 2,0000000016,0000000000,17: 8, 4/ 1/16
 2,0000000035,0000000000,17: 8, 4/ 1/16
 2,0000000231,0000000000,17: 9, 4/ 1/16
 2,0000000052,0000000000,17: 9, 4/ 1/16
 2,0000000255,0000000000,17:10, 4/ 1/16
 2,0000000185,0000000000,17:10, 4/ 1/16
 2,0000000100,0000000000,17:11, 4/ 1/16
